id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
198,2357586,333030323334303639313032303030,0,785,0,"2018-07-03 08:51:35.000000",0,56.0,40.0,7
199,2357590,333030323334303639313032303030,0,786,0,"2018-07-03 08:51:47.000000",0,56.0,40.0,8
200,2357594,333030323334303639313032303030,0,787,0,"2018-07-03 08:51:55.000000",0,56.0,40.0,9
201,2357597,333030323334303639313032303030,0,788,0,"2018-07-03 08:52:01.000000",0,56.0,41.0,9
202,2357613,333030323334303639313032303030,13,789,0,"2018-07-03 08:52:28.000000",0,56.0,41.0,11
203,2357632,333030323334303639313032303030,13,789,0,"2018-07-03 08:53:40.000000",0,56.0,40.0,17
204,2357667,333030323334303639313032303030,13,789,0,"2018-07-03 08:54:55.000000",0,56.0,40.0,9
205,2357739,333030323334303639313032303030,13,789,0,"2018-07-03 08:57:06.000000",0,56.0,40.0,3
206,2357753,333030323334303639313032303030,0,789,0,"2018-07-03 08:58:33.000000",0,56.0,40.0,3
207,2357845,333030323334303639313032303030,0,790,0,"2018-07-03 08:59:37.000000",0,56.0,40.0,5
208,2357861,333030323334303639313032303030,0,791,0,"2018-07-03 08:59:51.000000",0,56.0,40.0,6
209,2357863,333030323334303639313032303030,0,792,0,"2018-07-03 08:59:56.000000",0,56.0,40.0,6
210,2357870,333030323334303639313032303030,0,793,0,"2018-07-03 09:00:03.000000",0,56.0,40.0,7
211,2357938,333030323334303639313032303030,0,794,0,"2018-07-03 09:00:29.000000",0,56.0,40.0,9
212,2357954,333030323334303639313032303030,0,796,0,"2018-07-03 09:00:46.000000",0,56.0,41.0,10
213,2357960,333030323334303639313032303030,0,797,0,"2018-07-03 09:00:55.000000",0,56.0,41.0,11
214,2357964,333030323334303639313032303030,0,798,0,"2018-07-03 09:01:05.000000",0,56.0,41.0,12
215,2357971,333030323334303639313032303030,0,799,0,"2018-07-03 09:01:34.000000",0,56.0,41.0,16
216,2357980,333030323334303639313032303030,0,800,0,"2018-07-03 09:01:51.000000",0,56.0,41.0,18
217,2357984,333030323334303639313032303030,13,801,0,"2018-07-03 09:02:02.000000",0,56.0,41.0,20
218,2358024,333030323334303639313032303030,2,801,0,"2018-07-03 09:03:17.000000",0,56.0,43.0,169
